name,url,rating,price,contact,via,CAP,comune
Il Piccolo Chalet,https://www.tripadvisor.it/Restaurant_Review-g194672-d3842279-Reviews-Il_Piccolo_Chalet-Aprica_Province_of_Sondrio_Lombardy.html,4.5,fascia media,+393335321603,Via Magnolta Località Parade ,23031, Aprica
Ristorante Francesco,https://www.tripadvisor.it/Restaurant_Review-g194672-d6115028-Reviews-Ristorante_Francesco-Aprica_Province_of_Sondrio_Lombardy.html,3.5,fascia media,+393347608117,Via Roma,,Aprica
Agriturismo Malga Magnolta,https://www.tripadvisor.it/Restaurant_Review-g194672-d4750425-Reviews-Agriturismo_Malga_Magnolta-Aprica_Province_of_Sondrio_Lombardy.html,4.0,cibo economico,,Magnolta ,23031, Aprica
Ristorante Argentino Stambech,https://www.tripadvisor.it/Restaurant_Review-g194672-d3379686-Reviews-Ristorante_Argentino_Stambech-Aprica_Province_of_Sondrio_Lombardy.html,4.0,fascia media,+393429635492,Corso Roma 77 ,23031, Aprica
Bar Pizzeria Spuntineria Plona,https://www.tripadvisor.it/Restaurant_Review-g194672-d2271926-Reviews-Bar_Pizzeria_Spuntineria_Plona-Aprica_Province_of_Sondrio_Lombardy.html,4.0,fascia media,+380342745443,Corso Roma 209 ,23031, Aprica
Ristorante Pizzeria Ambrosini,https://www.tripadvisor.it/Restaurant_Review-g194672-d2480886-Reviews-Ristorante_Pizzeria_Ambrosini-Aprica_Province_of_Sondrio_Lombardy.html,4.0,fascia media,+390342747736,Via Roma 158,,Aprica
La Maison Ristorante Pizzeria,https://www.tripadvisor.it/Restaurant_Review-g194672-d9607051-Reviews-La_Maison_Ristorante_Pizzeria-Aprica_Province_of_Sondrio_Lombardy.html,4.0,fascia media,+390342745075,Via Nazionale 560 ,23031, Aprica
The Keller Pub,https://www.tripadvisor.it/Restaurant_Review-g194672-d11903406-Reviews-The_Keller_Pub-Aprica_Province_of_Sondrio_Lombardy.html,3.5,cibo economico,,Corso Roma 240 ,23031, Aprica
Baita le Lische,https://www.tripadvisor.it/Restaurant_Review-g194672-d2283668-Reviews-Baita_Le_Lische-Aprica_Province_of_Sondrio_Lombardy.html,4.0,fascia media,+393409353098,Via Ospitale località lische ,23031, Aprica
Osteria al Dosso,https://www.tripadvisor.it/Restaurant_Review-g194672-d1804506-Reviews-Osteria_al_Dosso-Aprica_Province_of_Sondrio_Lombardy.html,4.5,fascia media,+390342745029,Via Dosso 1 ,23031, Aprica
Pasticceria Tognolini,https://www.tripadvisor.it/Restaurant_Review-g194672-d4734507-Reviews-Pasticceria_Tognolini-Aprica_Province_of_Sondrio_Lombardy.html,3.5,cibo economico,+390342746234,Piazza Palabione ,23031, Aprica
Gelart,https://www.tripadvisor.it/Restaurant_Review-g194672-d6739477-Reviews-Gelart-Aprica_Province_of_Sondrio_Lombardy.html,4.0,cibo economico,+393393634273,Corso Roma 188 ,23031, Aprica
Gimmy's,https://www.tripadvisor.it/Restaurant_Review-g194672-d2463124-Reviews-Gimmy_s_Restaurant-Aprica_Province_of_Sondrio_Lombardy.html,4.0,cucina raffinata,+390342747048,Via Privata Gemelli ,23031, Aprica
Bistrot,https://www.tripadvisor.it/Restaurant_Review-g194672-d8619445-Reviews-Bistrot-Aprica_Province_of_Sondrio_Lombardy.html,4.0,fascia media,+393455127978,Corso Roma 79 ,23031, Aprica
Boomerang Cafè,https://www.tripadvisor.it/Restaurant_Review-g194672-d12854815-Reviews-Boomerang_Cafe-Aprica_Province_of_Sondrio_Lombardy.html,3.5,cibo economico,+390342746101,Corso Roma 97 ,23031, Aprica
Ristorante Barbasch,https://www.tripadvisor.it/Restaurant_Review-g194672-d4756846-Reviews-Ristorante_Barbasch-Aprica_Province_of_Sondrio_Lombardy.html,3.5,fascia media,+390342746210,Via Valtellina 25 ,23031, Aprica
La Taverna degli Elfi,https://www.tripadvisor.it/Restaurant_Review-g194672-d15887021-Reviews-La_Taverna_degli_Elfi-Aprica_Province_of_Sondrio_Lombardy.html,4.0,fascia media,+390342017033,Via Europa 43 Piazza Palabione. Full Sky Scuola di Sci ,23031, Aprica
Stofol,https://www.tripadvisor.it/Restaurant_Review-g194672-d8418672-Reviews-Stofol-Aprica_Province_of_Sondrio_Lombardy.html,3.5,fascia media,+393334633768,Piazzale Funivia 18 ,23031, Aprica
Torre,https://www.tripadvisor.it/Restaurant_Review-g2277638-d4168832-Reviews-Torre-Corteno_Golgi_Province_of_Brescia_Lombardy.html,4.5,cibo economico,+390364740055,Via Giuseppe Garibaldi 77 ,25040, Corteno Golgi
Chalet Baradello Dal Brusca,https://www.tripadvisor.it/Restaurant_Review-g194672-d3842190-Reviews-Chalet_Baradello_Dal_Brusca-Aprica_Province_of_Sondrio_Lombardy.html,4.0,fascia media,+390342747391,Localita Piana Dei Galli Baradello ,25040, Aprica
Grizzly Bar,https://www.tripadvisor.it/Restaurant_Review-g194672-d12083826-Reviews-Grizzly_Bar-Aprica_Province_of_Sondrio_Lombardy.html,4.5,cibo economico,+393493203883,Via Adamello 6 ,23031, Aprica
Bar Ca' Disi,https://www.tripadvisor.it/Restaurant_Review-g194672-d12870285-Reviews-Bar_Ca_Disi-Aprica_Province_of_Sondrio_Lombardy.html,3.5,fascia media,+393470406415,Corso Roma 215 ,23031, Aprica
Parco,https://www.tripadvisor.it/Restaurant_Review-g2277638-d3258492-Reviews-Parco-Corteno_Golgi_Province_of_Brescia_Lombardy.html,4.0,cibo economico,+39036474346,Via Nazionale 415 ,25040, Corteno Golgi
Ristorante Abete,https://www.tripadvisor.it/Restaurant_Review-g2277638-d4702698-Reviews-Ristorante_Abete-Corteno_Golgi_Province_of_Brescia_Lombardy.html,4.5,fascia media,+390342746476,Via Valeriana 7 ,25040, Corteno Golgi
Cascina Biancotti,https://www.tripadvisor.it/Restaurant_Review-g2407712-d2538069-Reviews-Cascina_Biancotti-Villa_Tirano_Province_of_Sondrio_Lombardy.html,4.0,fascia media,+390342747061,Località Pian Gembro loc. Pian Gembro ,23030, Villa Tirano
Agriturismo Pisce,https://www.tripadvisor.it/Restaurant_Review-g2407712-d2401790-Reviews-Agriturismo_Pisce-Villa_Tirano_Province_of_Sondrio_Lombardy.html,3.5,cibo economico,+39330520174,Localita Pisce ,23030, Villa Tirano
Albergo Ristorante Staffora,https://www.tripadvisor.it/Restaurant_Review-g2550113-d4242046-Reviews-Albergo_Ristorante_Staffora-Santa_Margherita_di_Staffora_Province_of_Pavia_Lomba.html,4.5,fascia media,+390383334547,Frazione Casanova Destra 29 ,27050, Santa Margherita di Staffora
Osteria Santa Margherita,https://www.tripadvisor.it/Restaurant_Review-g1069551-d2485760-Reviews-Osteria_Santa_Margherita-Fidenza_Province_of_Parma_Emilia_Romagna.html,4.0,fascia media,+39052463100,Via Santa Margherita 46 ,43036, Fidenza
Agriturismo La Fruslina,https://www.tripadvisor.it/Restaurant_Review-g194899-d23438279-Reviews-Agriturismo_La_Fruslina-San_Pellegrino_Terme_Province_of_Bergamo_Lombardy.html,5.0,,+393791592220,Frazione Santa Croc ,24016, San Pellegrino Terme
Break Point Panificio Valle Staffora,https://www.tripadvisor.it/Restaurant_Review-g1180050-d7133630-Reviews-Break_Point_Panificio_Valle_Staffora-Voghera_Province_of_Pavia_Lombardy.html,3.0,cibo economico,+390383360898,Via Piacenza 56 ,27058, Voghera
Vesuvio,https://www.tripadvisor.it/Restaurant_Review-g187830-d2300137-Reviews-Vesuvio-Bergamo_Province_of_Bergamo_Lombardy.html,3.5,fascia media,+39035219101,Via Borgo Santa Caterina 96 ,24124, Bergamo
Ginger Bistrot,https://www.tripadvisor.it/Restaurant_Review-g651992-d17747374-Reviews-Ginger_Bistrot-Santa_Caterina_Valfurva_Province_of_Sondrio_Lombardy.html,4.5,fascia media,+390342936970,Via Santa Caterina 15 ,23030, Santa Caterina Valfurva
